SLAB,DESCRIPTION,ID
E4D,A340: INSTRUCTOR,E4D - A340: INSTRUCTOR
E4E,MD87: INSTRUCTOR,E4E - MD87: INSTRUCTOR
E4G,B757: INSTRUCTOR,E4G - B757: INSTRUCTOR
E5,INSTRUCTOR,E5 - INSTRUCTOR
E5A,INSTRUCTOR,E5A - INSTRUCTOR
E5B,INSTRUCTOR,E5B - INSTRUCTOR
E6,INSTRUCTOR,E6 - INSTRUCTOR
E7,INSTRUCTOR,E7 - INSTRUCTOR
E8C,INSTRUCTOR BCN,E8 - INSTRUCTOR BCN
EB,ENFERMO BAJA SS,EB - ENFERMO BAJA SS
ED,ENTREGA DE DIPLOMA,ED - ENTREGA DE DIPLOMA
EF,PERMISO CON SUELDO ENFERM.FAM,EF - PERMISO CON SUELDO ENFERM.FAM
EI,ENFERMO BAJA SM,EI - ENFERMO BAJA SM
EL,PERMISO CON SUELDO ENFERM.FAM(FB),EL - PERMISO CON SUELDO ENFERM.FAM(FB)
EM,EXCEDENCIA POR MATERNIDAD,EM - EXCEDENCIA POR MATERNIDAD
ER,JUBILACION POR EDAD REGLAMENTARIA,ER - JUBILACION POR EDAD REGLAMENTARIA
ES,ENFERMO SIN BAJA JUSTIFICADA,ES - ENFERMO SIN BAJA JUSTIFICADA
EX,DIA LIBRE POR EXAMEN,EX - DIA LIBRE POR EXAMEN
EXT,EXTENSION en INCIDENCIAS,INe - EXTENSION en INCIDENCIAS
FAN,CURSO FANS,FAN-CURSO FANS
FB,FALLECIMIENTO FAMILIAR 1ER GRADO (FB),FB - FALLECIMIENTO FAMILIAR 1ER GRADO (FB)
FCJ,CURSO FACILITADORES REFRESCO CRM (ALUMNO),FCJ - CURSO FACILITADORES REFRESCO CRM (ALUMNO)
FF,FRANCO SERVICIO,F - FRANCO SERVICIO
FI,INSPECCION EN VUELO,FI - INSPECCION EN VUELO
FJ,CURSO REFRESCO CRM (FACILITADOR),FJ - CURSO REFRESCO CRM (FACILITADOR)
FL,FRANCO ESPECIAL,FL - FRANCO ESPECIAL
FM,FALLECIMIENTO FAMILIAR 1ER GRADO,FM - FALLECIMIENTO FAMILIAR 1ER GRADO
FPT,CURSO FORMACION FORMADORES TEC,FPT - CURSO FORMACION FORMADORES TEC
FPT,FORMACION DE FORMADORES TEC,FPT-FORMACION DE FORMADORES TEC
FS,SERVICIO FLOTA,FS - SERVICIO FLOTA
FY,FALLECIMIENTO FAM.2ºGRADO EN BASE,FY - FALLECIMIENTO FAM.2ºGRADO EN BASE
FZ,FALLECIMIENTO FAMILIAR 2º GRADO (FB),FZ - FALLECIMIENTO FAMILIAR 2º GRADO (FB)
GF,GARANTIA SINDICAL,GF - GARANTIA SINDICAL
GI,EFB,GI - EFB
GR,GESTION RECURSOS VUELO (CRM),GR - GESTION RECURSOS VUELO (CRM)
GS,GARANTIA SINDICAL,GS - GARANTIA SINDICAL
GS1,INSTRUCTOR,GS1 - INSTRUCTOR
GS2,INSTRUCTOR,GS2 - INSTRUCTOR
GT1,INSTRUCTOR,GT1 - INSTRUCTOR
GT2,INSTRUCTOR,GT2 - INSTRUCTOR
HC,CURSO CCO + HABILITACION TIPO,HC - CURSO CCO + HABILITACION TIPO
HF,DIAS LIBRES POR FORCEM,HF - DIAS LIBRES POR FORCEM
HR,CURSO HABILITACION,HR - CURSO HABILITACION
HRA,CURSO DOBLE HABILITACION,HRA - CURSO DOBLE HABILITACION
HRR,CURSO HABILITACIÓN,HRR - CURSO HABILITACIÓN
HT,CURSO DE REHABILITACION,HT- CURSO DE REHABILITACION
HTA,CURSO HABILITACION,HTA- CURSO HABILITACION
I0,MD87: INSTRUCTOR HELSINKI,I0 - MD87: INSTRUCTOR HELSINKI
I1,INSTRUCTOR,I1 - INSTRUCTOR
I1A,A320: INSTRUCTOR SIM A,I1A - A320: INSTRUCTOR SIM A
I1B,A320: INSTRUCTOR SIM B,I1B - A320: INSTRUCTOR SIM B
I1C,INSTRUCTOR,I1 -  INSTRUCTOR
I1D,A340: INSTRUCTOR,I1D - A340: INSTRUCTOR
I1E,MD87: INSTRUCTOR,I1E - MD87: INSTRUCTOR
I1G,B757: INSTRUCTOR,I1G - B757: INSTRUCTOR
I2,INSTRUCTOR,I2 - INSTRUCTOR
I2A,A320: INSTRUCTOR SIM A,I2A - A320: INSTRUCTOR SIM A
I2B,A320: INSTRUCTOR SIM B,I2B - A320: INSTRUCTOR SIM B
I2C,INSTRUCTOR,I2- INSTRUCTOR
I2D,A340: INSTRUCTOR,I2D - A340: INSTRUCTOR
I2E,MD87: INSTRUCTOR,I2E - MD87: INSTRUCTOR
I2G,B757: INSTRUCTOR,I2G - B757: INSTRUCTOR
I3,INSTRUCTOR,I3 - INSTRUCTOR
I3A,A320: INSTRUCTOR SIM A,I3A - A320: INSTRUCTOR SIM A
I3B,A320: INSTRUCTOR SIM B,I3B - A320: INSTRUCTOR SIM B
I3D,A340: INSTRUCTOR,I3D - A340: INSTRUCTOR
I3E,MD87: INSTRUCTOR,I3E - MD87: INSTRUCTOR
I3G,B757: INSTRUCTOR,I3G - B757: INSTRUCTOR
I4,INSTRUCTOR,I4 - INSTRUCTOR
I4A,A320: INSTRUCTOR SIM A,I4A - A320: INSTRUCTOR SIM A
I4B,A320: INSTRUCTOR SIM B,I4B - A320: INSTRUCTOR SIM B
I4D,A340: INSTRUCTOR,I4D - A340: INSTRUCTOR
I4E,MD87: INSTRUCTOR,I4E - MD87: INSTRUCTOR
I4G,B757: INSTRUCTOR,I4G - B757: INSTRUCTOR
I5,INSTRUCTOR,I5 - INSTRUCTOR
I5A,A320: INSTRUCTOR SIM A,I5A - A320: INSTRUCTOR SIM A
I5B,A320: INSTRUCTOR SIM B,I5B - A320: INSTRUCTOR SIM B
I5D,A340: INSTRUCTOR,I5D - A340: INSTRUCTOR
I5E,MD87: INSTRUCTOR,I5E - MD87: INSTRUCTOR
I5G,A320: INSTRUCTOR,I5G - A320: INSTRUCTOR
I6,INSTRUCTOR,I6 - INSTRUCTOR
I6A,A320: INSTRUCTOR SIM A,I6A - A320: INSTRUCTOR SIM A
I6B,A320: INSTRUCTOR SIM B,I6B - A320: INSTRUCTOR SIM B
I6C,INSTRUCTOR,I6 -INSTRUCTOR
I6D,A340: INSTRUCTOR,I6D - A340: INSTRUCTOR
I6E,MD87: INSTRUCTOR,I6E - MD87: INSTRUCTOR
I6G,B757: INSTRUCTOR,I6G - B757: INSTRUCTOR
I7,MD87: INSTRUCTOR,I7 - MD87: INSTRUCTOR
I7B,A320: INSTRUCTOR,I7 - A320: INSTRUCTOR
I7C,A320 INSTRUCTOR,I7 - A320 INSTRUCTOR
I7E,A-320 INSTRUCTOR,I7 - A-320 INSTRUCTOR
I7G,B757: INSTRUCTOR,I7G - B757: INSTRUCTOR
I8,MD87: INSTRUCTOR HELSINKI,I8 - MD87: INSTRUCTOR HELSINKI
I8C,A320 INSTRUCTOR BCN,I8 - A320 INSTRUCTOR BCN
I9,MD87: INSTRUCTOR HELSINKI,I9 - MD87: INSTRUCTOR HELSINKI
IF,CURSO COMUNICACIONES (INSTRUCTOR),IF - CURSO COMUNICACIONES (INSTRUCTOR)
IG,CURSO SEGURIDAD (INSTRUCTOR),IG - CURSO SEGURIDAD (INSTRUCTOR)
IH,IMAGINARIA EN HOTEL,IH - IMAGINARIA EN HOTEL
IL,INSTRUCTOR COMPETENCIA LINGÜISTICA,IL - INSTRUCTOR COMPETENCIA LINGÜISTICA
IM,IMAGINARIA,IM - IMAGINARIA
IMP,C.INSTRUCTOR M.P.,IMP - C.INSTRUCTOR M.P.
IN,INCIDENCIAS,IN - INCIDENCIAS
IP,IMAGINARIA EN PROGRAMACION,IP - IMAGINARIA EN PROGRAMACION
IS,INSTRUCCION SALVAMENTO,IS - INSTRUCCION SALVAMENTO
IT,INSTRUCTOR DE HABILITACION EN TIERRA,IT - INSTRUCTOR DE HABILITACION EN TIERRA
IX,IMAGINARIA EXTENDIDA,IX - IMAGINARIA EXTENDIDA
IZ,IMAGINARIA EXTENDIDA EN HOTEL,IZ - IMAGINARIA EXTENDIDA EN HOTEL
J1,ALUMNO,J1 - ALUMNO
J2,ALUMNO,J2 - ALUMNO
J2C,ALUMNO,J2C - ALUMNO
J2D,ALUMNO,J2D- ALUMNO
J3,ALUMNO,J3 - ALUMNO
J3B,ALUMNO,J3B - ALUMNO
J3C,ALUMNO,J4C - ALUMNO
J4,ALUMNO,J4 - ALUMNO
J5,ALUMNO,J5- ALUMNO
J5,ALUMNO,J5 - ALUMNO
J5B,ALUMNO,J5B - ALUMNO
J5C,ALUMNO,J5C - ALUMNO
J6C,ALUMNO,J6C - ALUMNO
JA,ALUMNO CURSO REGLAS J.A.R.,JA - ALUMNO CURSO REGLAS J.A.R.
JD,JEFE DE DIA,JD - JEFE DE DIA
JE,JUBILACION POR ERE,JE - JUBILACION POR ERE
JF,JORNADAS DE FORMACION,JF - JORNADAS DE FORMACION
JFE,JORNADAS DE FORMACION ESP,JF - JORNADAS DE FORMACION ESP
JS,JORNADA DE SIMULADOR EN TIERRA,JS  - JORNADA DE SIMULADOR EN TIERRA
JT,JORNADA DE TRABAJO,JT - JORNADA DE TRABAJO
LC,DIA LIBRE POR CANCELACION VUELO,LC - DIA LIBRE POR CANCELACION VUELO
LI,DIA LIBRE EN PERIODO DE IMAGINARIAS,LI - DIA LIBRE EN PERIODO DE IMAGINARIAS
LL,DIA LIBRE,LL - DIA LIBRE
LN,CURSO E-LEARNING,LN - CURSO E-LEARNING
LP,LACTANCIA DE RIESGO,LP - LACTANCIA DE RIESGO
LR,PERMISO RETRIBUIDO SIN DEFINIR,LR - PERMISO RETRIBUIDO SIN DEFINIR
MA,CURSO DE MANDOS,MA - CURSO DE MANDOS
MD,DESCANSO MATERNAL,MD - DESCANSO MATERNAL
ME,GESTANTE BAJO CONTROL SM IB,ME - GESTANTE BAJO CONTROL SM IB
MF,CURSO DE INSTRUCTORES (ALUMNO),MF - CURSO DE INSTRUCTORES (ALUMNO)
MG,IMAGINARIA,MG - IMAGINARIA
MGE,EXTENSION en IMAGINARIA,MGe -EXTENSION en IMAGINARIA
MMR,MÓDULO DE RECUPERACIÓN,MMR - MÓDULO DE RECUPERACIÓN
MOC,ADPTA A FCOM Y SOP AIRBUS,MOC -ADPTA A FCOM Y SOP AIRBUS
MPT,MERCANCIAS PELIGROSAS,MP - MERCANCIAS PELIGROSAS
MS,ALUMNO CURSO RVSM (GESTION FORMACION EUROPEA),MS - ALUMNO CURSO RVSM (GESTION FORMACION EUROPEA)
MTD,MULTIFUNCTION TRAINING DEVICE,MULTIFUNCTION TRAINING DEVICE
MTT,CURSO CRM 2021 TECNICOS,MTT - CURSO CRM 2021 TECNICOS
MTTA,CURSO CRM 2021 TECNICOS,MTTA - CURSO CRM 2021 TECNICOS
MTTC,CURSO CRM 2021 TECNICOS,MTTC - CURSO CRM 2021 TECNICOS
MTX,CURSO CRM 2020 TECNICOS,MTX - CURSO CRM 2020 TECNICOS
MTY,CURSO CRM 2021 TECNICOS,MTY - CURSO CRM 2021 TECNICOS
MTZ,CURSO CRM 2022 TECNICOS,MTZ - CURSO CRM 2022 TECNICOS
NH,NACIMIENTO HIJO,NH - NACIMIENTO HIJO
NO,NO OPERATIVO,NO - NO OPERATIVO
NOT,FORMACION NOTECH V3/C3,NOT- FORMACION NOTECH V3/C3
NP,NO PROGRAMAR POR CAMBIO FLOTA/BASE,NP - NO PROGRAMAR POR CAMBIO FLOTA/BASE
OB,EXCEDENCIA OBLIGATORIA,OB - EXCEDENCIA OBLIGATORIA
OC,CURSOS,OC - CURSOS
ORM,CURSO DE IATA,ORM-CURSO DE IATA
PE,RECOLOCACION DIFERIDA,PE - RECOLOCACION DIFERIDA
PF,JORNADA DE FORMACIÓN,PF - JORNADA DE FORMACIÓN
PG,PERMISO SS GRACIABLE,PG - PERMISO SS GRACIABLE
PH,PERMISO DE PATERNIDAD,PH - PERMISO DE PATERNIDAD
PI,EXCEDENCIA PRORROGA ILT,PI - EXCEDENCIA PRORROGA ILT
PL,PERDIDA LICENCIA POR DGAC,PL - PERDIDA LICENCIA POR DGAC
PO,PERMISO SIN SUELDO POR CONVENIO,PO - PERMISO SIN SUELDO POR CONVENIO
PPI,CURSO PAPI,PPI - CURSO PAPI
PRT,CURSO PREVENCION RIESGOS LABORALES,PR - CURSO PREVENCION RIESGOS LABORALES
PU,PARRAFO ULTIMO,PU - PARRAFO ULTIMO
PV,PERMISO 20 AÑOS,PV - PERMISO 20 AÑOS
RA,REUNION DIRECCION,RA - REUNION DIRECCION
RC,RECUPERACION,RC - RECUPERACION
REF,REFRIGERIO,REFRIGERIO
RG,REGULACION EMPLEO/ERTE,RG/ERTE - REGULACION EMPLEO/ERTE
RH,RETEN EN PERIODO DE IMAGINARIAS,RH - RETEN EN PERIODO DE IMAGINARIAS
RI,REUNION INSTRUCCION,RI - REUNION INSTRUCCION
RK,REUNION SEGURIDAD VUELO,RK - REUNION SEGURIDAD VUELO
RM,REUNION MANDOS,RM - REUNION MANDOS
RST,CURSO REFRESCO SALVAMENTO,RS - CURSO REFRESCO SALVAMENTO
RT,RETEN,RT - RETEN
RX,OTRO TIPO DE REUNION,RX - OTRO TIPO DE REUNION
S1,ALUMNO,S1 - ALUMNO
S2,ALUMNO,S2 - ALUMNO
S3,ALUMNO,S3 - ALUMNO
S4,ALUMNO,S4 - ALUMNO
S4A,A320: ALUMNO EN SIMULADOR A,S4A - A320: ALUMNO EN SIMULADOR A
S4B,A320: ALUMNO EN SIMULADOR B,S4B - A320: ALUMNO EN SIMULADOR B
S4D,A340: ALUMNO,S4D - A340: ALUMNO
S4E,MD87: ALUMNO,S4E - MD87: ALUMNO
S4G,B757: ALUMNO,S4G - B757: ALUMNO
S5,ALUMNO,S5 - ALUMNO
S5A,ALUMNO,S5A - ALUMNO
S6,ALUMNO,S6 - ALUMNO
S7,ALUMNO,S7 - ALUMNO
S8C,ALUMNO BCN,S8 - ALUMNO BCN
SA,SUSPENSION ACTIVIDAD,SA - SUSPENSION ACTIVIDAD
SE,CURSO PILOTO RELEVO,SE - CURSO PILOTO RELEVO
SGT,CURSO SEGURIDAD (ALUMNO),SG - CURSO SEGURIDAD (ALUMNO)
SL,SUSPENSION CONTRATO,SL - SUSPENSION CONTRATO
SP,CURSO SUPERVISORES (ALUMNO),SP - CURSO SUPERVISORES (ALUMNO)
SR,C.I.S.,SR - C.I.S.
SS,SUSPENSION EMPLEO Y SUELDO,SS - SUSPENSION EMPLEO Y SUELDO
SV,SEGURIDAD EN VUELO,SV - SEGURIDAD EN VUELO
SVR,SEGURIDAD EN VUELO,SVR - SEGURIDAD EN VUELO
T0,MD87: ALUMNO HELSINKI,T0 - MD87: ALUMNO HELSINKI
T1,ALUMNO,T1 - ALUMNO
T1A,A320: ALUMNO EN SIMULADOR A,T1A - A320: ALUMNO EN SIMULADOR A
T1B,A320: ALUMNO EN SIMULADOR B,T1B - A320: ALUMNO EN SIMULADOR B
T1D,A340: ALUMNO,T1D - A340: ALUMNO
T1E,MD87: ALUMNO,T1E - MD87: ALUMNO
T1G,B757: ALUMNO,T1 - B757: ALUMNO
T2,ALUMNO,T2 - ALUMNO
T2A,A320: ALUMNO EN SIMULADOR A,T2A - A320: ALUMNO EN SIMULADOR A
T2B,A320: ALUMNO EN SIMULADOR B,T2B - A320: ALUMNO EN SIMULADOR B
T2D,A340: ALUMNO,T2D - A340: ALUMNO
T2E,MD87: ALUMNO,T2E - MD87: ALUMNO
T2G,B757: ALUMNO,T2- B757: ALUMNO
T3,ALUMNO,T3 - ALUMNO
T3A,A320: ALUMNO EN SIMULADOR A,T3A - A320: ALUMNO EN SIMULADOR A
