SLAB,DESCRIPTION,ID
CX,CURSO DE EXPERIENCIA CLIENTE VUELO,CX - CURSO DE EXPERIENCIA CLIENTE VUELO
CXM,CURSO DE EXPERIENCIA CLIENTE,CXM - CURSO DE EXPERIENCIA CLIENTE
CXP,PRODUCTO SERVICIO VUELO,CXP-PRODUCTO SERVICIO VUELO
DC,DIA CUARENTENA,DC - DIA CUARENTENA
DF,CURSO DE DESFIBRILADOR,DF-  CURSO DE DESFIBRILADOR
DFR,REFRESCO DESFIBRILADOR,DFR - REFRESCO DESFIBRILADOR
DG,DIA PETICION GRUPO,DG - DIA PETICION GRUPO
DR,PETICION TCP GRUPO,DR -  PETICION TCP GRUPO
DRC,CRM DEL OPERADOR,DRC - CRM DEL OPERADOR
ECS,TODO EMPIEZA CONMIGO (SC),ECS - TODO EMPIEZA CONMIGO (SC)
ECT,TODO EMPIEZA CONMIGO (TCP),ECT - TODO EMPIEZA CONMIGO (TCP)
EF,PERMISO CON SUELDO ENFERM.FAM(FB),EF - PERMISO CON SUELDO ENFERM.FAM(FB)
EI,ENFERMO BAJA SERVICIO MEDICO,EI - ENFERMO BAJA SERVICIO MEDICO
ER,JUBILACION,ER - JUBILACION
ES,ENFERMO SIN BAJA QUE JUSTIFIQUE,ES - ENFERMO SIN BAJA QUE JUSTIFIQUE
EX,DIA LIBRE POR EXAMEN,EX -DIA LIBRE POR EXAMEN
EXT,EXTENSION en INCIDENCIAS,INe - EXTENSION en INCIDENCIAS
FC,CURSO FORMADOR DE FORMADORES,FC - CURSO FORMADOR DE FORMADORES
FD,FRANCO SERVICIO COMO INCIDENCIAS,FD - FRANCO SERVICIO COMO INCIDENCIAS
FE,DIA FORMACION E-LEARNING,FE - DIA FORMACION E-LEARNING
FEC,FORMACION FORMADORES TODO EMPIEZA CONMIGO,FEC- FORMACION FORMADORES TODO EMPIEZA CONMIGO
FF,FRANCO SERVICIO,FF - FRANCO SERVICIO
FI,INSPECCION,FI - INSPECCION
FMP,CURSO DE FORMACION DE FORMADORES MP (TCP),FMP - CURSO DE FORMACION DE FORMADORES MP (TCP)
FP,CURSO DE FORMACION DE FORMADORES SALVAMENTO,FP - CURSO DE FORMACION DE FORMADORES SALVAMENTO
FPA,CURSO DE FORMACION DE FORMADORES SALVAMENTO,FPA - CURSO DE FORMACION DE FORMADORES SALVAMENTO
FPA,FORMADOR DE FORMADORES,FPT- FORMADOR DE FORMADORES
GC,GESTANTE SIN CONTROL S.M.,GC - GESTANTE SIN CONTROL S.M.
GD,DIA SERVICIO EN FLOTA,GD - DIA SERVICIO EN FLOTA
GF,GESTION SINDICAL,GF - GESTION SINDICAL
GI,INSTRUCTOR DE GESTION,GI- INSTRUCTOR DE GESTION
GN,CURSO SALVAMENTO GENERAL,GN - CURSO SALVAMENTO GENERAL
GNE,CURSO ESCUELA GENERAL,GNE - CURSO ESCUELA GENERAL
GR,GESTION RECURSOS VUELO (C.R.M.),GR - GESTION RECURSOS VUELO (C.R.M.)
HF,DIAS LIBRES POR FORCEM,HF -DIAS LIBRES POR FORCEM
I1,INSTRUCCION (INSTRUCTORES),I1 - INSTRUCCION (INSTRUCTORES)
I1A,INSTRUCCION (INSTRUCTORES),I1A - INSTRUCCION (INSTRUCTORES)
I1B,INSTRUCCION (INSTRUCTORES),I1B - INSTRUCCION (INSTRUCTORES)
I2,INSTRUCCION (INSTRUCTORES),I2 - INSTRUCCION (INSTRUCTORES)
